ORF,baseMean,log2FoldChange,lfcSE,pvalue,padj
YNR006W,127.23373395907873,0.559133285442079,0.1993271713677913,0.0030275439657412475,0.010349689005121274
YNR007C,58.32431292899537,-0.22638695962238334,0.2399376494080953,0.3050173468527413,0.4333253212545113
YNR008W,48.47736835477742,-0.2535566162176254,0.2635831972734636,0.2860960294268306,0.4140566734410488
YNR009W,31.099979267550143,0.06318391282978501,0.2948020894384943,0.8087401199513158,0.869002950609052
YNR010W,27.991754243316667,0.16788841550970254,0.29854326515764784,0.5219185677681181,0.6419325127753209
YNR011C,55.468741214065844,0.0025927767316306733,0.24237042222361097,0.9919866167989064,0.9940176421190885
YNR012W,72.35648895659438,-0.861959840136918,0.312509571339501,0.0019203854242172756,0.007120216916936907
YNR013C,87.41383234040333,0.4085355272621493,0.24103814316746502,0.06539079614023678,0.12882930081570299
YNR014W,54.14111310907934,2.130031018546741,0.29121699997028144,2.963058943404048e-14,9.944025814063987e-13
YNR015W,22.708917070179673,-0.20618208389431503,0.31276753725068734,0.44493460979448296,0.5745604580745379
YNR016C,1165.3971968406045,-1.4208872707487463,0.25871493238389187,5.930772737484655e-9,8.253892959063359e-8
YNR017W,74.71702848325327,1.063034038682975,0.24713109674537553,4.109482275217504e-6,3.274761112937911e-5
YNR018W,301.5257751925847,0.2155024200262232,0.1628126628206875,0.16940798572221982,0.27545213182353184
YNR019W,96.23452022190037,0.5375713003481581,0.2554352918314295,0.020314434191813217,0.049835702593366345
YNR020C,55.966643728621015,-0.3541155854680135,0.2672193878774259,0.14077145586262232,0.2380508955603746
YNR021W,83.35069985438051,-0.23040352308566547,0.20118901083632273,0.21952756544634003,0.33680391637052115
YNR022C,112.12728089119622,0.8513870326745779,0.31292268598596623,0.002176132690857819,0.007869721239783233
YNR023W,53.33993618420431,0.17073228819576605,0.25090468299530216,0.4581030547476908,0.586265788307201
YNR024W,67.0491315647925,0.8040468038006597,0.4612527920831932,0.024489317843282402,0.05813490852611057
YNR026C,42.40047461694431,-1.697313352838542,0.33477768222811083,5.047967543439001e-8,5.929342676523451e-7
YNR027W,13.433074969912902,-0.5321097164298711,0.4473445853177189,0.11388243182573317,0.20091064046636556
YNR028W,80.07571804456092,0.730161679526741,0.25933593859641485,0.0021072489595227646,0.007674648415021712
YNR029C,45.04693627864913,0.15799905264646488,0.24626731316188624,0.48432543047656773,0.6109199426952067
YNR030W,81.5971678457435,-0.15821365726114692,0.2354844333527627,0.466515106604687,0.5939427412042816
YNR031C,200.88844947026544,-0.44142079659985883,0.1952890306399206,0.016551591773978393,0.04211620882715185
YNR032C-A,39.742894956438164,-0.09023274053849992,0.2659287855702741,0.7060481604052118,0.7930522980481653
YNR032W,42.35905915709714,-0.0887088967803256,0.2604691446991473,0.7052576065726952,0.7928747939129861
YNR033W,62.08995239679832,-0.45744763055025367,0.30148181622946635,0.08134336087580749,0.1536107904899091
YNR034W,55.66040934258075,0.9649446041463812,0.2657572479685591,7.998427212798818e-5,4.5430138317956924e-4
YNR034W-A,5699.212020218125,1.3312703436513758,0.4005558662136463,1.299389444468769e-4,6.893689437547498e-4
YNR035C,138.14999606184043,0.5841650993872393,0.2238201110476996,0.005097399215166971,0.015990870383330965
YNR036C,255.39857074149404,0.12375181563450868,0.211486437433392,0.5337283006889032,0.653307360862047
YNR037C,40.58129281274902,0.5858860129296348,0.30735021430502296,0.02870059126145403,0.06615328590208772
YNR038W,42.319850708824724,-0.3269583314795218,0.286949076345709,0.19927162458064016,0.3123358022850546
YNR039C,44.78024221917674,0.10133976208868269,0.25577425190833203,0.6647775928550229,0.7636165231480749
YNR040W,23.92284448452069,-0.1494384127949841,0.30844823373850283,0.5759303072524895,0.6893088841438497
YNR041C,53.25079183664652,-0.937950129884381,0.315229777927257,7.983017923357333e-4,0.0033850702653132896
YNR043W,113.94310644977733,-1.8774096431131087,0.2580896551072533,4.1520032633940074e-14,1.3472218323708843e-12
YNR044W,28.0586135382789,-0.22200070752938755,0.3359676763897691,0.43040554745543624,0.5603572999791125
YNR045W,130.44762148178427,0.6251921606787109,0.22095513362548885,0.0024501102821111536,0.008684066196040317
YNR046W,25.105009772690483,-0.14671259587506086,0.31504448381719097,0.5871549189790393,0.6991810298385843
YNR047W,179.70641050892593,0.20245489100560213,0.19238417435045568,0.26675802497282547,0.39205952969604707
YNR048W,23.943297346774862,-0.438376973397826,0.35287779629661586,0.13710132965997368,0.23311989261523608
YNR049C,26.654309392823468,-0.15459326022734518,0.33294401318260725,0.5813699010198656,0.6938397538487443
YNR050C,125.5242137024985,0.05893935887684715,0.20536256889928903,0.7621710147081759,0.836522214423681
YNR051C,425.94889665048134,1.8652190235788453,0.4098200121860039,5.354230383773702e-7,5.121399844283869e-6
YNR052C,66.52378308939126,-4.970164228327907e-4,0.26109472953622276,0.9974185671801697,0.9977583452647143
YNR053C,71.63186324099766,-0.8750178590954054,0.3136335618707649,0.001592493513408158,0.006069250100094816
YNR054C,39.12672901453708,0.5126030986817433,0.374748370179993,0.0955286029844918,0.1743983479415357
YNR055C,142.69097413381508,-0.49074767179442164,0.20136767621102047,0.009559330041548384,0.026939513116129393
YNR056C,29.137792304477564,0.48744113721607596,0.3606101090328326,0.10303193593829744,0.18527451309418888
YNR057C,7.860348279944374,-0.2646399115736777,0.4505452985668936,0.40836568925641864,0.5388013029198097
YNR058W,11.345375631664947,0.006557152060927364,0.391583422700529,0.9838625850545868,0.9894277398078871
YNR059W,34.765595775913596,-1.4567866220420695,0.3790458664395768,1.808973941237505e-5,1.2100346192355203e-4
YNR060W,9.381858377809813,0.033854352381679644,0.40926067773635794,0.9134973396842279,0.9448696505751093
YNR061C,41.50454761652108,-2.1521270102559087,0.41700822456191006,2.5605891663383604e-8,3.199646845511743e-7
YNR062C,10.58723499035993,-2.734939464311209,0.8197682544117048,1.345073496460089e-4,7.087069389254304e-4
YNR063W,30.45481994274457,-0.12327890481915874,0.3151291601335977,0.6450265217517768,0.7485604719065793
YNR064C,37.21998325159578,0.5318776339719984,0.33025853427102414,0.057996377413821305,0.116813795322637
YNR065C,126.77532748775587,-0.833072502547941,0.28604786947886196,0.00118241883362656,0.004720833317395504
YNR066C,31.99198596594884,-0.06242709526907002,0.33266457993971876,0.8212441956631906,0.8783797163208891
YNR067C,246.78298963421068,0.5247645334595425,0.18402968282130278,0.0027017890016998226,0.009416977333521103
YNR068C,102.80925199840851,-0.84206940168767,0.3068940961976744,0.0020048627881906166,0.007363701785518131
YNR069C,91.40350010217364,-1.7670236974399613,0.28611237948160045,8.004352778026886e-11,1.5617795304103624e-9
YNR070W,40.79120692017356,-0.0903492204691792,0.280544357390391,0.715953350002015,0.8006069244621018
YNR071C,1174.5505833276973,3.152259304989965,0.25356963643367686,1.3334842615462822e-36,3.405023073070137e-34
YNR072W,927.0072924860929,0.6221162162398179,0.21427520753962878,0.0019445329831804716,0.007191588293588734
YNR073C,2006.5728848890276,0.9735599750631482,0.2869380950801942,1.8692073426625875e-4,9.488206329695226e-4
YNR074C,23.538810025021967,5.720927527771394,0.7694460388890154,8.837285974080495e-14,2.6616092577320384e-12
YNR075W,5.09214495902982,6.9295841230141395,2.6154240970737526,6.704300889106839e-7,6.2598345185571485e-6
YNR077C,3.567956045925677,0.29669840905354594,0.6247205163455302,0.2803092734379776,0.4075900873734198
YOL001W,51.31038093125169,-0.3993146207793819,0.26603134271635187,0.09460591828601822,0.17319842833347412
YOL002C,211.02670230683077,-1.107208603911657,0.2588745682568044,4.012187970641639e-6,3.2102969961278396e-5
YOL003C,42.19054243925163,-0.7993107807356952,0.3126841028693655,0.0037895873638446606,0.012503509319022298
YOL004W,211.68522124950763,-0.010537750180993344,0.15607175156952313,0.943535407191812,0.9625470638244766
YOL005C,64.1074844191273,1.255678634031945,0.25957052033010153,2.6539506755295537e-7,2.7060160273237968e-06
YOL006C,301.94315142897455,1.176919375752757,0.3431337707417219,1.1831940137109794e-4,6.386855186143918e-4
YOL007C,15.411461019020765,-0.184246800466925,0.3795610829968625,0.5375279957097499,0.6560477802999503
YOL008W,15.108053779039738,-0.06070268264416694,0.35260430042611457,0.8314433779856738,0.8850946091915647
YOL009C,28.429179045573264,-0.27255096391337774,0.2931750178859115,0.290757901021885,0.4186372034080732
YOL010W,36.136718383418,-0.9896133745403075,0.3275967495077434,6.77180626064393e-4,0.0029093502683805272
YOL011W,197.03212313430538,0.0864767781744081,0.2044861309958727,0.6502957278581127,0.75222674947881
YOL012C,70.58650514441153,-0.11466376055411119,0.23180955160233532,0.5909465724144567,0.7026987689390776
YOL013C,114.08405379930102,0.08328687498228565,0.1848013973842846,0.637290891394761,0.7421791404246344
YOL014W,6.312867376393886,0.281737240315188,0.5095161420596498,0.38241847622031566,0.5109311190909848
YOL015W,28.44365690747154,0.04092611970164068,0.33841329637073253,0.8858924201089751,0.9254440027214533
YOL016C,203.2493927240426,0.322826438369546,0.17678717487493825,0.055866557422729175,0.11337397779671336
YOL017W,24.665673083844922,-0.09157626605073524,0.3164579296599696,0.7356866417203043,0.8159938898627662
YOL018C,60.4208437842237,-0.23580625472124775,0.22463204222735894,0.25830847235545384,0.38315692296907844
YOL019W,50.990438551314526,-0.6030784971655251,0.30207142006094156,0.023354197962193898,0.05596050780577918
YOL020W,8.503356066619531,-0.6512357684006987,0.5477176677019698,0.08263180740024445,0.15569348888727483
YOL021C,89.13821161933016,-0.15172912978208547,0.23663906984876493,0.4843028320302773,0.6109199426952067
YOL022C,58.029221485689995,-0.5428958376128651,0.27450355486227446,0.027527618898034373,0.06387582212096242
YOL023W,92.89156169780944,0.13333222485262267,0.26320234682055754,0.5769267122948302,0.6899957252567239
YOL024W,6.794197241223474,0.2594607081070566,0.494941495705543,0.4220059536771601,0.552114271763413
YOL025W,66.1933369153678,0.4687016521748614,0.24307425994854812,0.035235326242282816,0.07782514893603873
YOL026C,61.49049142437861,0.7248071783517913,0.2586866086189439,0.0021786219712632256,0.00787387497675626
YOL027C,307.096083333353,1.3142013211713586,0.24909637250685146,2.3986694206109298e-8,3.010125108386323e-7
YOL028C,8.653070303447118,-2.3188552000515994,0.7528848471202337,2.8306638074726955e-4,0.0013626629951874706
YOL029C,28.415335268007308,0.1955458032211987,0.3459243512383831,0.4978371048972034,0.6223493650619999
YOL030W,445.66276503568344,-0.7972479745389438,0.27294915393839736,0.001250144731168892,0.0049375252227000024
YOL031C,57.82143189710413,-0.9576045308986214,0.2890831076086129,2.611484688095427e-4,0.0012675412870400366
YOL032W,154.72224709721814,1.3655643141459848,0.27750483771994666,1.4779204944352572e-7,1.589711916450232e-6
YOL033W,40.49349172781743,-0.01814199618408809,0.2664011575349658,0.9385106448287072,0.9595879208006611
YOL034W,108.92900846222716,0.07327357224755049,0.22344429331795967,0.7266974173945473,0.8089131226690144
YOL036W,322.376903380728,-0.3534206178948931,0.16256482650187312,0.02303889813035644,0.055317844938505056
YOL038C-A,2.169417367383702,0.0632028040758227,0.5359542129455883,0.8152174174786762,0.8736810023453038
YOL038W,304.3172010885669,0.7586476610331556,0.2276709766334202,3.550660114562399e-4,0.001669577810474377
YOL039W,145.6417394386914,-0.09830402601368765,0.25149708857165487,0.6665256795897642,0.7650000618000167
YOL040C,404.49877688004307,-0.5082944900128675,0.22635292346360908,0.015304973394372689,0.03979022078138592
YOL041C,63.49216092791921,0.11695031303691035,0.33393804883360234,0.680361885624508,0.7755755734225029
YOL042W,42.13187470712555,-1.0661753378483456,0.32213268207377427,2.328308170418859e-4,0.0011479964671069593
YOL043C,25.755152482381586,-0.10298523765211544,0.2971024290024029,0.6913525638984646,0.7836930337339669
YOL044W,41.71816694627057,-0.9852017821874397,0.3233848529532689,6.684790878325982e-4,0.0028782827586809746
YOL045W,94.96684159548137,0.805903539545137,0.22996600058881206,1.7733514219069645e-4,9.056428609443133e-4
YOL047C,2.1084707059865337,-0.018582337738329513,0.5359802655567636,0.943714003411097,0.9625620600961051
YOL048C,50.692424146280075,1.0556391666288047,0.30813071799186187,1.4150569316161464e-4,7.406978038664552e-4
YOL049W,101.56177795115802,-0.9565478959366902,0.270034628199532,1.0279525540482463e-4,5.666558694427411e-4
YOL051W,313.95365672497564,0.7226606909491055,0.18336395138209746,3.732315095206263e-5,2.3211136830497656e-4
YOL052C,39.23338636843664,-0.866152403173577,0.3371364532963172,0.0031736214314566293,0.010767578663746264
YOL052C-A,745.4442986241457,1.883169091664511,0.2771958361169982,1.2784529805572849e-12,3.382141601267087e-11
YOL053W,43.58809734122204,0.12867377675772304,0.2723845790246116,0.6043319035151327,0.7142767698418946
YOL054W,62.54505282898261,-0.3107468549770168,0.23198811527310995,0.14892755776051464,0.2491175012040736
YOL055C,111.32914888794897,0.5952951997962824,0.247112469875185,0.00822395719943449,0.02376934086234191
YOL056W,18.629762582569484,-1.05856205681055,0.47771889124589767,0.006028468903778772,0.01842524666664816
YOL057W,77.96217384972842,-0.8571760101840618,0.2644619187737256,3.966637101162674e-4,0.001837228682581103
YOL058W,460.0939823230431,-0.5178804816691187,0.2090675284988501,0.00816430899582448,0.023678511966655397
YOL059W,136.5649446144861,0.7512858834718655,0.22814056072954084,4.043092764391611e-4,0.001868220598369153
YOL060C,172.7389512073881,0.15314931546831212,0.2058587527342457,0.43034313707453514,0.5603572999791125
YOL061W,104.34397104812268,-1.0998774145712977,0.2812673488995319,2.022072019230681e-5,1.3373456046105616e-4
YOL062C,86.43350560564988,-0.6818125088010744,0.2738493987896116,0.005650185370886178,0.017483423963758966
YOL063C,68.98753303492578,-0.26955094163286725,0.26235417539867323,0.2536868790389422,0.377956123946146
YOL064C,185.9115933982802,-0.07855488148141694,0.23369810460986526,0.7139976320978496,0.7991681354980715
YOL065C,38.236037682637864,-0.4917362088395622,0.3066363586525534,0.06610487443881595,0.1299745321657737
YOL066C,64.70746514724594,-0.4203582665422358,0.23935735525420718,0.055688778340774917,0.11309135380199553
YOL067C,18.8454928274995,0.08752259298794196,0.36227567414796913,0.7654920259337621,0.8388007396216577
YOL068C,105.77808402938605,0.6108952075078442,0.22521286964512718,0.0036227915535836388,0.012054761923057626
YOL069W,35.89007742235569,0.8772121998539919,0.342959088798962,0.0031973457122705883,0.010823061307299807
YOL070C,48.14027709272677,-0.16260394038653728,0.24013183436291682,0.46125075267677657,0.5897102726118312
YOL071W,93.29022594346046,0.22278278178577213,0.22793753771801745,0.2923016573465291,0.4206536715501508
YOL072W,40.897576708477665,-0.8609753074704193,0.3229592326365921,0.002434401395405232,0.008647941845585249
YOL073C,40.185633089782556,0.6858607980550042,0.2927638735979818,0.008283534183278285,0.02388276694079203
YOL075C,120.6794365601447,0.026031998101843715,0.23842855702677518,0.9079154476039994,0.9405869507458615
YOL076W,48.4135733130241,0.21947483316854144,0.27575050132392964,0.3739152461929583,0.5022882527198638
YOL077C,52.749740607576136,-0.12428214320003636,0.2634366842090538,0.6012173752955743,0.7114546937559757
YOL077W-A,764.3781641306779,1.4719628372223637,0.332644511940958,1.3791716129725954e-6,1.216197429878086e-5
YOL078W,123.66636522738779,0.17351633482488765,0.1902771518990762,0.33820268256232927,0.4683481147579721
YOL080C,17.65597959178734,-0.7261904348980328,0.4035156600160607,0.02716888899429125,0.06329348872013983
YOL081W,1005.1535995807662,0.5878820596648066,0.160335588226189,1.3661232921581827e-4,7.189285031223124e-4
YOL082W,195.70610904467753,0.051425791225755614,0.19296744609026012,0.7805871221399421,0.8488035860632994
YOL083W,73.10042033153789,0.3398455938370072,0.2322293980699264,0.11365251443093463,0.20065980435287234
YOL084W,79.08123077680324,0.7086280656313437,0.3205436517460852,0.010639585882874947,0.029363857091223945
YOL085C,4.718109662233041,-0.14023870508096506,0.5707151830968683,0.5780491888160746,0.6908593581434282
YOL086C,1200.9396453127556,-0.3167797909027938,0.17568568277098734,0.059015896556597475,0.11833402542741447
YOL086W-A,63.94857837476987,0.3159077661171033,0.220313963369792,0.12458015522175485,0.2157650402882236
YOL087C,227.14901332913433,0.5321038221791178,0.17522681566461687,0.0015126737314635316,0.005817899688857446
YOL088C,51.55156978129759,0.048650606110252605,0.23467884091771307,0.8213993114628572,0.8783797163208891
YOL089C,94.93348621291456,-0.27234316050020313,0.23293211233052194,0.20507878226354012,0.3191382321764099
YOL090W,43.533507784854145,-0.8089250058519979,0.2806255329954806,0.0014151955836758543,0.005496986549555749
YOL091W,9.385785232495236,0.10447007734984926,0.4304134313174091,0.7395252007399671,0.8193173918393443
YOL092W,105.75580202484541,-0.5766166608438069,0.29460448620912205,0.026342142850355167,0.06171017349825923
YOL093W,23.22452657103444,-0.705427324540836,0.374473307586183,0.024104830797537908,0.05738407229049506
YOL094C,26.753165132446767,-0.40527542389280957,0.3163789797581478,0.1365455723645523,0.23237987885184505
YOL095C,22.351756538555467,-0.43450075470389576,0.3376671905344062,0.12835129637676362,0.22060496447782638
YOL096C,81.2520826698974,0.3577565426837047,0.23608645249544633,0.09874905718349654,0.17910846597859023
YOL097C,75.68120057334608,-0.9209408858598703,0.2627583116205473,1.3454933371392046e-4,7.087069389254304e-4
YOL097W-A,1.3699414234829135,-0.15478938928928399,0.5809362757105815,0.5137274657135564,0.6358527726313418
YOL098C,99.44476579664921,-0.5958132630664998,0.2590715632812792,0.011295558736752854,0.030871539002582698
