ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0098771,inorganic ion homeostasis,111,-0.3870820556128434,-1.5716973392155975,0.0031687525627145286,0.03809293259320394,0.031901952492291386,812,"tags=31%, list=14%, signal=27%",YGL160W/YCL017C/YEL027W/YBR127C/YOR079C/YER113C/YHL040C/YCR044C/YDL206W/YAL053W/YMR058W/YDR107C/YLL051C/YDR436W/YIL090W/YHR175W/YDR270W/YBR235W/YGR257C/YIR033W/YJR106W/YOL130W/YOL152W/YMR021C/YFL050C/YLR214W/YDR506C/YDR492W/YDR089W/YEL065W/YLR023C/YOL002C/YOR381W/YOR384W
GO:0006633,fatty acid biosynthetic process,31,-0.5766214072638469,-1.847555951277282,0.0032607671488020305,0.03892107171229658,0.03259549990478477,562,"tags=42%, list=10%, signal=38%",YER061C/YDL015C/YMR207C/YKL055C/YMR272C/YNR016C/YIR033W/YPL231W/YKL182W/YJL196C/YHR067W/YPL095C/YGL055W
GO:0016042,lipid catabolic process,67,-0.44219260669623456,-1.6685558635314583,0.0033354530781426117,0.03934600083315228,0.0329513682431691,1362,"tags=39%, list=23%, signal=30%",YDR319C/YLR020C/YDR275W/YMR008C/YAL051W/YOR081C/YLL012W/YLR284C/YDL109C/YNL009W/YNL202W/YJR107W/YEL020C/YPL103C/YPR128C/YKR009C/YPL206C/YPL110C/YGL144C/YOR363C/YKR031C/YJR019C/YPR147C/YGL205W/YCR068W/YPL095C
GO:0140588,chromatin looping,94,-0.41522952578096306,-1.6394405408106683,0.0033431242537972526,0.03934600083315228,0.0329513682431691,796,"tags=19%, list=14%, signal=17%",YER172C/YMR080C/YLR397C/YLL066C/YEL032W/YDR243C/YPR204W/YNL209W/YGR271W/YNL112W/YML133C/YPL029W/YGL251C/YNL339C/YLR466W/YEL077C/YDR545W/YGR296W
GO:0048878,chemical homeostasis,239,-0.3153212515818258,-1.4434778054326636,0.003630425121520619,0.04243059360777224,0.035534643550556355,1123,"tags=30%, list=19%, signal=25%",YLR034C/YJL129C/YDR205W/YMR116C/YER125W/YPR138C/YLR253W/YJR033C/YLR126C/YPL031C/YOR270C/YKL175W/YKL168C/YLR220W/YNL201C/YJL110C/YMR205C/YOR371C/YPL109C/YGL160W/YCL017C/YEL027W/YBR127C/YOR079C/YGR038W/YNL087W/YGR121C/YER113C/YHL040C/YCR044C/YDL206W/YAL053W/YMR058W/YDR107C/YLR087C/YPL036W/YLL051C/YDR436W/YGR240C/YIL090W/YHR175W/YPL203W/YBR043C/YDR270W/YKR021W/YAL048C/YBR235W/YBR295W/YDL138W/YLR446W/YGR257C/YIR033W/YJR106W/YOL130W/YAL056W/YLR447C/YOL152W/YMR021C/YFL050C/YLR214W/YDR506C/YGL008C/YDR492W/YDR089W/YEL065W/YLR023C/YKR034W/YOL002C/YNL142W/YGL253W/YOR381W/YOR384W
GO:0015802,basic amino acid transport,17,-0.6872179555331915,-1.9582202947663814,0.003681201837713434,0.04272732891635662,0.03578315252775527,844,"tags=53%, list=14%, signal=45%",YOL092W/YIL088C/YGR191W/YKR105C/YDR352W/YEL063C/YDR119W/YGR125W/YMR088C
GO:0015851,nucleobase transport,10,-0.7755528380515838,-1.9056474048368148,0.0039004693313887807,0.04496225948443368,0.03765485533330626,933,"tags=80%, list=16%, signal=67%",YOR071C/YBL042C/YAL022C/YBR021W/YLR237W/YER060W/YIR028W/YER056C
GO:0015804,neutral amino acid transport,20,-0.6537090067236475,-1.9047692334851092,0.00394854957599059,0.045206863512871856,0.03785970556571,749,"tags=50%, list=13%, signal=44%",YPR058W/YIL121W/YCR075C/YIL088C/YBR043C/YEL062W/YKR039W/YNL065W/YOR348C/YNL101W
GO:0070972,protein localization to endoplasmic reticulum,58,0.4873407737337359,1.6766021828070607,0.004144848163624805,0.0471336449958145,0.03947334061944249,1381,"tags=43%, list=24%, signal=33%",YER103W/YNCE0024W/YKL122C/YJL034W/YMR040W/YKL065C/YKL073W/YDR086C/YLR378C/YER019C-A/YAL005C/YKL154W/YDL092W/YML055W/YDL072C/YJR117W/YGL200C/YLL024C/YML105C/YAL007C/YBR171W/YBL040C/YPL210C/YOL111C/YDL100C
GO:1901606,alpha-amino acid catabolic process,40,-0.5258077046012424,-1.7726990167372862,0.004278403840323957,0.04832586351184711,0.040471796129945455,590,"tags=35%, list=10%, signal=32%",YGL196W/YEL046C/YHR037W/YKL106W/YJR078W/YNL239W/YLR044C/YLR142W/YER043C/YLR134W/YCL064C/YLR231C/YFR055W/YGR087C
